"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"426","Dan Burn","Centre-Back",1801,"Newcastle Utd","Premier League",30,"https://fbref.com/en/players/b2d31e83/Dan-Burn","ENG",28,29,2474,0,0,0,0.04,0.04,0.84,3.09,1.24,0.47,0.11,0,0,0,47.91,2.87,0.04,2.62,0.25,0.04,0.95,0.04,1.13,1.24,0.87,2.51,3.86,0.98,1.85,58.46,10.04,0.69,0.29,1.53,25.61,0.65,0.15,0.04,0.51,2.5
"427","Dan-Axel Zagadou","Centre-Back",2421,"Stuttgart","Bundesliga",23,"https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou","FRA",8,11,751,0,0,0,0.18,0.05,0.36,3.12,0,1.32,0.36,0,0,0.02,64.11,9.9,0.01,3.6,0.12,0,1.32,0.12,0.72,1.44,1.08,2.16,5.51,0.48,4.79,76.1,2.52,0.12,0.12,11.98,44.1,0.12,0,0,0,7.99
"428","Dango Ouattara","Winger",444,"Bournemouth","Premier League",21,"https://fbref.com/en/players/2f9e4435/Dango-Ouattara","BFA",11,11,831,0,0.32,0,0.27,0.18,2.71,1.62,6.39,1.84,0.43,0,0,0.02,23.94,6.66,0.09,1.84,1.08,0.65,2.38,0.43,1.08,1.19,0.97,2.82,2.06,1.19,5.96,40.07,16.14,5.52,1.95,3.82,21.55,1.62,1.3,1.08,2.38,4.96
"429","Dani Carvajal","Full-Back",1997,"Real Madrid","La Liga",31,"https://fbref.com/en/players/4958bfb2/Dani-Carvajal","ESP",16,21,1452,0,0.12,0,0.01,0.12,0.87,2.91,6.07,0.43,0,0,NA,0,65.76,5.25,0.11,3.1,1.18,0.43,1.98,0.06,0.99,1.12,0.81,2.6,2.36,0.93,3.58,74.38,24.86,0.68,0.31,2.82,41.96,1.36,0.06,0.74,2.48,2.71
"430","Dani Ceballos","Midfield",1999,"Real Madrid","La Liga",26,"https://fbref.com/en/players/c0617e2b/Dani-Ceballos","ESP",11,21,915,0,0.2,0,0.04,0.17,4.13,12.98,2.95,0.79,0.2,0,0,0,89.51,8.9,0.13,13.08,0.89,0.1,5.21,0.49,1.77,1.57,1.77,4.33,0.49,1.57,3.75,100.82,27.54,3.74,2.36,6.22,73.67,3.34,0.3,2.26,0.89,2.81
"431","Dani García","Midfield",180,"Athletic Club","La Liga",32,"https://fbref.com/en/players/240d3a0b/Dani-Garcia","ESP",13,19,1061,0,0.17,0,0.04,0.05,0.34,4.67,0.42,0.51,0,0,NA,0.01,43.01,6.64,0.05,4.84,0.42,0.08,1.53,0.25,1.61,0.93,1.19,3.99,1.7,1.78,5.56,52.08,7.97,0.08,0.08,8.48,24.68,0.42,0,1.02,0.25,4.38
"432","Dani Gómez","Forward",843,"Espanyol","La Liga",24,"https://fbref.com/en/players/0e5ddc7c/Dani-Gomez","ESP",0,7,76,0,0,0,0,0,1.18,3.55,7.11,0,0,NA,NA,NA,15.39,81.95,0,0,1.18,0,0,0,1.18,0,1.18,3.55,0,1.18,118.42,28.42,14.21,0,0,NA,16.58,1.18,0,2.37,2.37,118.42
"433","Dani Olmo","Attacking Midfield",1954,"RB Leipzig","Bundesliga",24,"https://fbref.com/en/players/ae44e8e2/Dani-Olmo","ESP",10,17,835,0.22,0.43,0.22,0.25,0.3,2.16,4.96,6.25,3.45,1.4,0.01,0.02,0.01,43.01,7.94,0.4,2.8,2.26,0.11,4.53,0.97,0.86,1.08,0.65,1.94,0.32,0.65,7.19,58.42,27.49,4.85,2.69,5.99,35.35,2.37,1.08,3.02,0.86,3.08
"434","Dani Rodríguez","Attacking Midfield",1545,"Mallorca","La Liga",34,"https://fbref.com/en/players/70f8e0bd/Dani-Rodriguez","ESP",21,26,1623,0.17,0.17,0.17,0.09,0.08,1.77,3.27,2.99,1.16,0.5,0.01,0.02,0,29.06,4.36,0.06,1.89,0.94,0.06,2.38,0.33,0.89,1.22,0.89,2.61,0.67,0.78,2.88,40.76,13.53,2.22,1.11,2.77,24.23,1.39,0.33,1.44,1.33,1.22
"435","Daniel Amartey","Centre-Back",1280,"Leicester City","Premier League",28,"https://fbref.com/en/players/1a4ef233/Daniel-Amartey","GHA",18,20,1610,0,0,0,0.06,0.03,1.29,3.69,0.28,0.34,0.11,0,0,0.01,62.27,5.09,0.02,3.24,0.06,0,0.84,0.06,0.45,1.34,0.45,1.51,3.97,0.67,4.79,71.5,2.57,0.28,0.11,2.24,43.55,0.61,0,0.17,0,3.17
"436","Daniel Caligiuri","Winger",229,"Augsburg","Bundesliga",35,"https://fbref.com/en/players/d1273f09/Daniel-Caligiuri","ITA",2,13,290,0.31,0,0.31,0.12,0.12,2.17,4.97,2.48,1.86,0.62,0.05,0.16,0.02,51.52,20.02,0.09,3.1,1.24,0,3.1,0.31,1.55,0.93,0.93,3.41,0.62,1.24,24.83,62.07,16.14,3.41,1.55,14.12,25.45,1.55,0.31,1.24,3.41,15.52
"437","Daniel Ciofani","Forward",634,"Cremonese","Serie A",37,"https://fbref.com/en/players/b09a3ecc/Daniel-Ciofani","ITA",6,26,710,0.76,0,0.38,0.23,0.06,0.63,0.76,3.68,2.92,1.01,0.02,0.05,0.01,18.51,7.38,0.09,1.01,0.38,0,2.54,0.51,0.38,0.63,0,0.63,0.38,0.38,6.34,28.39,16.48,0.13,0,0,14.07,0.89,0.13,1.27,0.25,4.34
"438","Daniel Iversen","Goalkeeper",1291,"Leicester City","Premier League",25,"https://fbref.com/en/players/10d221cd/Daniel-Iversen","DEN",4,4,360,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,33.75,14.82,0,0,0,0,0.25,0,0,0,0,0,0.5,0,NA,36.5,0,0,0,NA,17,0,0,0,0,NA
"439","Daniel James","Winger",953,"Fulham","Premier League",25,"https://fbref.com/en/players/c931d9f9/Daniel-James","WAL",3,15,404,0.22,0,0.22,0.31,0.07,3.34,2.9,6.68,2.45,0.45,0.02,0.11,0.03,29.41,14.68,0.07,0.45,1.34,0.22,2,0,0.89,0.45,0.22,1.78,0.89,0.89,11.14,40.1,23.61,2,0.22,2.47,23.84,1.78,0.89,2.67,3.56,2.78
"440","Daniel Kyereh","Attacking Midfield",932,"Freiburg","Bundesliga",27,"https://fbref.com/en/players/2770726a/Daniel-Kyereh","GHA",7,12,559,0.32,0,0.32,0.35,0.05,0.81,1.77,3.86,1.77,0.81,0.03,0.06,0.03,29.3,12.3,0.13,0.48,0.48,0.16,1.61,0.16,0.64,0.64,0.32,1.29,0.97,0.48,8.05,42.02,18.52,1.77,0.48,4.4,23.67,0.97,0.16,2.58,0.48,8.05
"441","Daniel Maldini","Attacking Midfield",2349,"Spezia","Serie A",21,"https://fbref.com/en/players/801831fe/Daniel-Maldini","ITA",3,16,569,0.32,0,0.32,0.17,0.02,1.74,1.27,4.9,2.21,0.95,0.02,0.05,0.01,27.21,10.66,0.05,1.42,0.63,0.16,2.85,0,0.79,0.95,0.16,2.06,1.11,0.63,5.76,41.44,18.51,6.17,3.16,8.11,21.67,1.11,0.63,2.06,2.37,6.44
"442","Daniel Parejo","Midfield",2675,"Villarreal","La Liga",33,"https://fbref.com/en/players/7460ca0d/Daniel-Parejo","ESP",28,28,2475,0.07,0.11,0,0.03,0.13,0.84,6.76,0.84,0.62,0.18,0,0,0,70.04,3.11,0.16,8.04,0.98,0.11,3.27,0.29,1.16,1.27,0.76,2.65,0.91,0.65,1.33,77.93,18.18,1.09,0.76,2.55,42.95,1.45,0,1.96,4.62,1.75
"443","Daniel Podence","Winger",2783,"Wolves","Premier League",27,"https://fbref.com/en/players/7fcc71d8/Daniel-Podence","POR",19,28,1616,0.33,0,0.33,0.19,0.13,2.23,4.9,7.69,2.17,0.89,0.01,0.02,0.01,34.47,3.73,0.1,1.78,1.95,0.33,3.56,0.17,0.95,1.06,0.33,1.84,0.33,0.33,1.19,46.28,23.61,3.06,1.23,2.23,27.46,1.39,1,1.17,2.9,1.85
"444","Daniel Vivian","Centre-Back",195,"Athletic Club","La Liga",23,"https://fbref.com/en/players/ab7bf91d/Daniel-Vivian","ESP",19,20,1715,0.05,0,0.05,0.06,0.03,0.84,4.46,0.21,0.58,0.1,0,0.03,0.01,51.11,4.16,0.02,3.88,0.1,0,0.63,0,1.05,1,1.15,2.89,3.73,1,3.84,61.92,2.57,0.47,0.16,1.75,36.68,0.58,0,0.63,0.26,2.13
"445","Daniele Rugani","Centre-Back",1168,"Juventus","Serie A",28,"https://fbref.com/en/players/14b8fcdf/Daniele-Rugani","ITA",4,5,355,0,0,0,0.08,0,0.51,1.27,0,0.76,0.25,0,0,0.03,49.44,22.23,0,1.77,0,0,0.25,0,0,1.01,1.01,2.54,4.56,0.76,25.35,59.07,2.03,0,0,NA,36.25,0,0,0,0,16.12
"446","Daniele Verde","Winger",2359,"Spezia","Serie A",26,"https://fbref.com/en/players/d3298c99/Daniele-Verde","ITA",9,18,736,0.24,0,0.12,0.15,0.12,1.35,2.81,4.65,2.81,0.73,0,0.02,0.01,37.05,8.28,0.18,1.71,1.35,0.37,4.4,0.12,0.24,0.61,0.98,1.22,0.37,0.12,4.07,46.59,22.13,1.59,0.49,3.77,24.82,0.73,0.61,1.59,5.62,0
"447","Danilho Doekhi","Centre-Back",2566,"Union Berlin","Bundesliga",24,"https://fbref.com/en/players/f67c9d29/Danilho-Doekhi","NED",18,18,1586,0.23,0.06,0.23,0.07,0.02,0.79,3.4,0.91,0.4,0.34,0.03,0.04,0.01,39.21,4.43,0.03,3.06,0.17,0,0.68,0.11,1.02,1.13,1.25,2.84,3.92,0.68,3.59,49.37,3.69,0.34,0.17,2.84,26.33,0.23,0.06,0.57,0.45,3.16
"448","Danilo","Full-Back",1151,"Juventus","Serie A",31,"https://fbref.com/en/players/94b2001f/Danilo","BRA",27,29,2464,0.11,0.11,0.11,0.07,0.08,0.99,4.38,1.24,0.73,0.15,0.01,0.03,0,60.38,3.04,0.04,4.71,0.37,0.11,1.53,0.11,1.46,0.95,1.31,3.62,3.21,1.17,2.44,70.46,6.5,0.66,0.15,0.81,37.29,0.73,0,0.55,0.62,2.1
"449","Danilo Cataldi","Midfield",1206,"Lazio","Serie A",28,"https://fbref.com/en/players/ba3d3bea/Danilo-Cataldi","ITA",24,26,1774,0,0.05,0,0.01,0.05,0.41,4.06,0.71,0.36,0.05,0,0,0,62.1,4.36,0.07,4.87,0.41,0,1.62,0.1,0.71,1.07,1.17,2.28,1.57,0.66,1.69,69.86,8.37,0.86,0.25,1.49,36.53,0.46,0,0.96,2.23,0.85
"450","Danilo D'Ambrosio","Centre-Back",1131,"Inter","Serie A",34,"https://fbref.com/en/players/44eb9093/Danilo-DAmbrosio","ITA",2,9,280,0,0.32,0,0,0.19,1.29,4.82,2.89,0,0,NA,NA,NA,57.21,27.64,0.16,3.54,0.96,0.32,2.89,0.32,2.25,2.25,1.93,6.11,2.25,2.57,18.35,70.39,12.86,0.96,0.32,10.7,43.07,1.29,0.64,1.29,1.93,16.07
"451","Danilo Pereira","Midfield",1930,"Paris S-G","Ligue 1",31,"https://fbref.com/en/players/8fd9996f/Danilo-Pereira","POR",19,25,1725,0.1,0,0.1,0.09,0.03,0.89,5.69,0.37,0.78,0.16,0.01,0.03,0.01,73.25,4.89,0.04,6.78,0.31,0,0.99,0.05,0.68,1.04,1.3,2.56,2.24,0.68,3.57,81.08,5.27,0.52,0.42,4.17,65.84,0.83,0.1,0.52,0.1,3.11
"452","Danilo Soares","Full-Back",397,"Bochum","Bundesliga",31,"https://fbref.com/en/players/c05f2f8c/Danilo-Soares","BRA",19,19,1457,0,0,0,0,0.07,0.86,4.51,1.05,0.06,0,0,NA,0,51.02,4.58,0.06,3.77,0.56,0.12,1.48,0.06,2.41,1.54,1.42,5,2.84,2.16,3.72,63.38,7.78,1.17,0.49,2.6,24.52,0.86,0.06,1.3,0.74,3.64
"453","Danny da Costa","Full-Back",1503,"Mainz 05","Bundesliga",29,"https://fbref.com/en/players/5ddb8f9f/Danny-da-Costa","GER",11,18,984,0,0.18,0,0.02,0.08,2.74,4.57,6.04,0.46,0,0,NA,0,44.91,5.5,0.12,2.74,1.65,0.73,2.65,0.37,1.19,1.83,0.82,2.1,1.92,0.55,4.57,56.62,19.3,1.92,0.73,3.48,24.79,1.46,1.01,0.27,4.39,5.41
"454","Danny Ings","Forward",134,"Aston Villa","Premier League",30,"https://fbref.com/en/players/07802f7f/Danny-Ings","ENG",8,18,824,0.66,0,0.44,0.42,0.13,1.64,1.31,5.02,2.73,1.31,0.02,0.04,0.02,17.69,7.69,0.07,0.76,0.44,0,1.75,0.11,0.55,1.31,0.11,1.2,1.2,0.11,1.82,29.16,15.18,1.75,1.09,6.83,17.8,0.66,0.98,0.55,0.44,6.24
"455","Danny Latza","Midfield",2251,"Schalke 04","Bundesliga",33,"https://fbref.com/en/players/33b554b7/Danny-Latza","GER",4,14,480,0,0,0,0.11,0,0.94,4.5,1.5,2.06,0.19,0,0,0.01,43.88,14.83,0.06,2.62,0.75,0.38,1.69,0,1.69,2.25,0.19,2.44,1.69,0.75,9.38,57.37,12,1.69,0.38,4.16,25.5,0.19,0.19,1.31,2.44,8.53
"456","Danny Ward","Goalkeeper",1306,"Leicester City","Premier League",29,"https://fbref.com/en/players/d3ce0e89/Danny-Ward","WAL",26,26,2340,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,36.35,2.88,0,0.27,0,0,0.08,0,0.04,0,0,0.04,0.54,0.04,1.28,38.46,0,0,0,NA,21.5,0,0,0.19,0,3.85
"457","Danny Welbeck","Forward",538,"Brighton","Premier League",32,"https://fbref.com/en/players/ce5143da/Danny-Welbeck","ENG",16,22,1423,0.19,0.13,0.19,0.41,0.16,1.33,2.09,6.7,2.66,1.01,0,0.01,0.01,19.54,5.22,0.09,1.26,0.51,0,2.47,0.51,0.38,0.95,0.19,0.95,0.82,0.25,2.81,31.62,18.53,2.02,1.08,3.36,18.47,0.7,0.44,0.7,0,3.23
"458","Dante","Centre-Back",1837,"Nice","Ligue 1",39,"https://fbref.com/en/players/fd2bc67d/Dante","BRA",29,29,2610,0.03,0.07,0.03,0.04,0.04,0.28,3.97,0.07,0.69,0.1,0,0.01,0,70.24,3.11,0.03,4.17,0.21,0,0.66,0.07,0.93,1.48,1.34,2.93,3.45,0.66,1.87,80.03,2,0.31,0.14,1.53,63.28,0.24,0,0.52,0.07,2.42
"459","Dany Jean","Winger",2377,"Strasbourg","Ligue 1",20,"https://fbref.com/en/players/300ec91c/Dany-Jean","HAI",0,2,13,0,0,0,0,0,6.92,13.85,13.85,0,0,NA,NA,NA,62.31,307.38,0.69,0,6.92,0,6.92,0,0,6.92,0,0,0,0,0,90,55.38,6.92,0,0,62.31,6.92,0,0,0,0
"460","Darko Brašanac","Midfield",1892,"Osasuna","La Liga",31,"https://fbref.com/en/players/4accb7e0/Darko-Brasanac","SRB",9,25,1041,0.09,0.09,0.09,0.1,0.06,1.56,4.24,3.11,0.95,0.35,0.01,0.02,0.01,32.51,7.04,0.05,3.46,0.61,0.17,1.9,0.09,1.73,1.21,1.04,3.54,0.78,1.04,4.51,42.28,14.78,0.86,0.35,3.46,21.27,1.21,0,1.21,0.61,4.32
