"","Name","Position","index","Squad","Comp","Age","Url","Nation","Starts_Playing","MP_Playing","Min_Playing","Gls","Ast","G_minus_PK","npxG_Expected","xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Sh_Standard","SoT_Standard","G_per_Sh_Standard","G_per_SoT_Standard","npxG_per_Sh_Expected","Att_Total","Cmp_percent_Total","xA","Final_Third","PPA","CrsPA","SCA_SCA","GCA_GCA","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Tkl_Challenges","Tkl_percent_Challenges","Touches_Touches","Att 3rd_Touches","Att_Take","Succ_Take","Succ_percent_Take","Carries_Carries","Final_Third_Carries","CPA_Carries","Fld","Crs","Won_percent_Aerial"
"462","Darko Churlinov","Winger",2402,"Stuttgart","Bundesliga",22,"https://fbref.com/en/players/c6608135/Darko-Churlinov","MKD",0,1,27,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,6.67,3.33,0,10,0,6.67,222.33,16.67,0,0,0,NA,3.33,0,0,3.33,0,0
"463","Darko Lazović","Winger",1055,"Hellas Verona","Serie A",32,"https://fbref.com/en/players/5128bde4/Darko-Lazovic","SRB",22,23,1795,0.15,0.2,0.15,0.16,0.24,2.96,3.31,6.97,1.86,0.6,0,0.01,0,33.59,3.18,0.21,2.01,1.35,0.6,2.61,0.2,0.6,0.55,0.6,1.65,0.95,0.5,2.09,42.82,19.55,2.21,0.75,1.71,21.51,1.5,0.95,0.1,4.81,1.19
"464","Darwin Machís","Winger",2640,"Valladolid","La Liga",30,"https://fbref.com/en/players/ed6ea4d9/Darwin-Machis","VEN",4,6,366,0,0.25,0,0.22,0.47,4.43,1.48,7.38,2.95,0.74,0,0,0.02,31.23,17.24,0.34,0.74,1.97,1.97,3.44,0.25,0.49,0.49,0.49,1.23,0.98,0.25,3.52,44.26,22.38,4.67,2.21,11.66,30.25,3.2,1.48,1.72,6.15,7.03
"465","Darwin Núñez","Forward",1411,"Liverpool","Premier League",23,"https://fbref.com/en/players/4d77b365/Darwin-Nunez","URU",17,24,1487,0.54,0.18,0.54,0.68,0.32,3.39,1.63,9.62,4.84,2.12,0.01,0.02,0.01,21.24,3.93,0.17,0.61,0.67,0.06,2.97,0.12,0.24,0.54,0.18,0.79,0.67,0.24,1.62,34.14,22.27,2.3,1.03,2.71,21,1.82,1.82,0.91,0.97,2.6
"466","David Alaba","Centre-Back",1997,"Real Madrid","La Liga",30,"https://fbref.com/en/players/05439de2/David-Alaba","AUT",19,21,1658,0.05,0.16,0.05,0.04,0.06,0.81,3.42,3.26,0.71,0.16,0,0.02,0,57.48,4.74,0.07,3.42,0.49,0.22,1.41,0.22,0.6,0.92,0.76,1.52,1.79,0.49,3.26,62.75,12.7,0.22,0.16,4.07,37.35,1.19,0.11,0.16,1.41,2.71
"467","David Brooks","Winger",432,"Bournemouth","Premier League",25,"https://fbref.com/en/players/dc4cae05/David-Brooks","WAL",0,2,31,0,0,0,0,0,0,0,2.9,2.9,0,0,NA,0.12,5.81,290.32,0,0,0,0,0,0,0,0,0,2.9,5.81,0,NA,20.32,5.81,0,0,NA,11.61,0,0,0,0,0
"468","David de Gea","Goalkeeper",1585,"Manchester Utd","Premier League",32,"https://fbref.com/en/players/7ba6d84e/David-de-Gea","ESP",30,30,2700,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,31.93,2.41,0.01,0.2,0.03,0,0.13,0,0,0,0,0,0.4,0,NA,34.07,0,0,0,NA,21.1,0,0,0.07,0,2.67
"469","David García","Centre-Back",1902,"Osasuna","La Liga",29,"https://fbref.com/en/players/3e42f707/David-Garcia","ESP",25,25,2209,0.08,0,0.08,0.02,0.02,0.57,3.63,0.16,0.53,0.12,0.01,0.03,0,47.79,3.3,0.02,3.95,0.16,0,0.61,0,0.65,0.9,1.47,2.69,4.93,0.69,3.46,58.3,1.83,0.16,0.16,4.07,31.13,0.24,0.04,0.49,0.08,2.93
"470","David Gil","Goalkeeper",697,"Cádiz","La Liga",29,"https://fbref.com/en/players/fea23125/David-Gil","ESP",4,4,360,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,32.25,12.8,0,2.25,0,0,0,0,0,0,0,0,0.75,0,NA,36,0,0,0,NA,17,0,0,0,0,NA
"471","David López","Centre-Back",1018,"Girona","La Liga",33,"https://fbref.com/en/players/f03f284b/David-Lopez","ESP",15,16,1337,0.13,0.07,0.13,0.04,0.03,1.21,3.1,0.07,0.61,0.4,0.01,0.02,0,63.88,6.02,0.03,3.43,0.07,0,0.67,0.13,1.01,1.41,0.61,2.15,3.7,1.01,5.31,73.1,2.09,0.27,0.27,6.73,43.55,0.27,0,0.81,0,3.37
"472","David Okereke","Forward",646,"Cremonese","Serie A",25,"https://fbref.com/en/players/d125f22f/David-Okereke","NGA",21,26,1803,0.25,0,0.2,0.18,0.05,2.1,3.19,5.89,2.5,0.8,0,0.01,0,20.42,3.46,0.05,1.35,1.15,0.25,3.14,0.15,0.35,1,0.25,0.8,0.55,0.15,1.25,31.9,16.92,2.95,1.3,2.2,18.57,1.8,0.5,1.4,1,1.84
"473","David Pereira da Costa","Attacking Midfield",1318,"Lens","Ligue 1",22,"https://fbref.com/en/players/59948ef7/David-Pereira-da-Costa","POR",16,29,1384,0.07,0.2,0.07,0.18,0.26,3.97,7.28,8.58,1.63,0.46,0,0.01,0.01,48.12,5.23,0.27,4.42,2.02,0.26,3.9,0.46,0.46,1.24,0.72,1.56,0.39,0.46,2.39,57.36,26.08,3.06,1.76,3.73,48.84,4.49,0.59,0.91,3.32,1.39
"474","David Raum","Full-Back",1962,"RB Leipzig","Bundesliga",24,"https://fbref.com/en/players/7d450ed3/David-Raum","GER",18,26,1597,0,0.11,0,0.03,0.26,2.42,3.78,6.99,0.68,0.23,0,0,0,63.68,4.27,0.28,2.37,1.47,0.85,3.21,0.17,1.35,1.18,0.9,3.04,1.3,0.9,3.22,72.98,25.3,1.86,0.45,1.36,39.05,1.18,0.56,0.79,7.78,3.13
"475","David Raya","Goalkeeper",480,"Brentford","Premier League",27,"https://fbref.com/en/players/98ea5115/David-Raya","ESP",31,31,2790,0,0,0,0,0,0,0.35,0,0.03,0,0,NA,0,43.65,2.11,0,2.03,0.1,0,0.32,0.03,0,0.03,0.03,0.03,0.32,0,0,46,0.03,0.03,0.03,3.23,27.74,0,0,0.16,0,2.98
"476","David Silva","Attacking Midfield",2047,"Real Sociedad","La Liga",37,"https://fbref.com/en/players/e2716bd0/David-Silva","ESP",20,22,1551,0.06,0.23,0.06,0.15,0.19,3.42,7.49,6.03,1.33,0.52,0,0.01,0.01,54.02,4.87,0.15,4.35,1.8,0.12,3.54,0.7,0.81,0.46,0.7,2.09,0.7,0.41,3.12,63.71,26.05,2.44,0.93,2.21,40.62,3.37,0.99,1.51,0.99,2.61
"477","David Soria","Goalkeeper",1000,"Getafe","La Liga",30,"https://fbref.com/en/players/8f8c6934/David-Soria","ESP",29,29,2610,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,29.38,1.93,0,1.07,0.03,0,0.14,0,0,0,0.03,0.03,0.55,0,NA,31.69,0,0,0,NA,14.52,0,0,0.07,0,3.45
"478","Dávid Strelec","Forward",2363,"Spezia","Serie A",22,"https://fbref.com/en/players/2cb9486d/David-Strelec","SVK",1,7,169,0,0,0,0.27,0.05,1.07,0.53,7.46,1.6,0.53,0,0,0.09,22.9,30.94,0.05,0.53,0,0,2.13,1.07,1.07,0,0,1.07,0,1.07,53.25,31.95,15.44,1.6,0,0,17.04,1.6,0,0.53,0,24.23
"479","David Zima","Centre-Back",2455,"Torino","Serie A",22,"https://fbref.com/en/players/acf7e795/David-Zima","CZE",4,9,406,0,0,0,0.18,0.02,0.67,2.66,1.11,0.89,0.44,0,0,0.04,43.67,17.33,0,1.33,0.67,0,0.89,0,1.11,1.55,2,3.99,2.44,0.67,16.63,54.31,2.66,0.22,0.22,22.17,24.61,0.44,0,0.44,0,13.85
"480","Davide Calabria","Full-Back",1635,"Milan","Serie A",26,"https://fbref.com/en/players/2146785a/Davide-Calabria","ITA",15,18,1200,0.08,0.22,0.08,0.08,0.1,1.58,5.18,4.42,0.75,0.08,0.01,0.08,0.01,64.2,5.95,0.09,3.53,1.2,0.67,1.95,0.3,2.33,1.12,1.5,5.62,2.02,2.4,4.8,75,15.97,0.75,0.15,1.5,37.35,1.5,0.08,0.9,2.55,3.09
"481","Davide Faraoni","Full-Back",1045,"Hellas Verona","Serie A",31,"https://fbref.com/en/players/aae9d04a/Davide-Faraoni","ITA",14,16,1007,0.09,0.18,0.09,0.18,0.06,0.71,3.93,2.5,1.16,0.36,0.01,0.02,0.01,37.54,5.96,0.04,2.32,0.98,0.36,1.61,0.27,1.25,1.7,0.8,2.77,2.06,0.89,2.89,47.82,13.41,0.89,0.27,2.68,20.73,0.45,0.18,0.63,2.41,3.39
"482","Davide Frattesi","Midfield",2217,"Sassuolo","Serie A",23,"https://fbref.com/en/players/2a7d27c1/Davide-Frattesi","ITA",29,30,2409,0.22,0,0.22,0.21,0.06,2.35,4.07,3.03,1.87,0.75,0,0.01,0,32.17,2.9,0.06,2.47,0.64,0.04,2.65,0.15,1.01,0.71,0.45,2.35,1.42,0.64,1.98,44.35,13.94,2.43,1.08,1.67,24.77,1.72,0.67,1.79,0.67,1.82
"483","Davide Zappacosta","Full-Back",171,"Atalanta","Serie A",30,"https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta","ITA",10,13,787,0.11,0.11,0.11,0.1,0.14,3.77,4,7.78,1.49,0.46,0.01,0.03,0.01,60.61,9.54,0.11,3.09,1.14,0.91,2.17,0.34,1.14,1.26,0.69,2.63,1.03,0.8,6.67,74.22,30.99,4.69,1.37,3.35,43.57,3.32,1.03,0.69,4,0
"484","Davie Selke","Forward",1090,"Hertha BSC","Bundesliga",28,"https://fbref.com/en/players/1238a3f9/Davie-Selke","GER",3,13,282,0.32,0.32,0,0.13,0.29,0.96,1.6,7.02,1.6,0.96,0,0,0.03,21.7,19.24,0.19,1.6,0,0,2.55,0.96,0.32,0.96,0.32,0.96,1.6,0,0,34.47,15,1.28,0.32,7.98,17.23,1.28,0.64,1.91,0.64,15.26
"485","Davinson Sánchez","Centre-Back",2477,"Tottenham","Premier League",26,"https://fbref.com/en/players/da7b447d/Davinson-Sanchez","COL",6,15,610,0,0,0,0.04,0.01,0.59,4.28,0.44,0.59,0.3,0,0,0.01,63.89,12.95,0.03,4.43,0.15,0.15,0.59,0,0.89,1.33,1.48,3.98,3.98,1.62,12.48,77.02,5.16,0.59,0.15,3.69,43.97,0.3,0,0.59,0.3,8.42
"486","Dayot Upamecano","Centre-Back",343,"Bayern Munich","Bundesliga",24,"https://fbref.com/en/players/d248cd8f/Dayot-Upamecano","FRA",25,25,2157,0,0.04,0,0.03,0.01,1.21,6.68,0.29,0.29,0.04,0,0,0,87.96,3.78,0.04,8.05,0.25,0,0.92,0.13,1.42,1,1.04,3.59,2.8,1.08,2.58,97.64,3.67,0.58,0.38,2.68,70.47,1.17,0.08,0.54,0.08,2.06
"487","Dean Henderson","Goalkeeper",1874,"Nott'ham Forest","Premier League",26,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson","ENG",18,18,1620,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,37.28,3.52,0,0.61,0.06,0,0.17,0,0,0,0,0,0.67,0,NA,39.72,0,0,0,NA,22.06,0,0,0.06,0,5.56
"488","Declan Rice","Midfield",2735,"West Ham","Premier League",24,"https://fbref.com/en/players/1c7012b8/Declan-Rice","ENG",30,30,2700,0.07,0.03,0.07,0.04,0.1,2.47,6.37,1.03,0.97,0.2,0,0.01,0,58.57,2.88,0.05,6.23,0.3,0.1,2.8,0.17,1.1,1.23,1.7,3.97,1.77,0.83,2.08,68.07,11.5,1.57,0.83,1.77,39,2.1,0.13,0.23,1.33,2.04
"489","Deiver Machado","Full-Back",1330,"Lens","Ligue 1",29,"https://fbref.com/en/players/b3f8bdef/Deiver-Machado","COL",20,27,1770,0.15,0.05,0.15,0.05,0.07,2.39,2.34,5.85,0.66,0.25,0.01,0.03,0,36.86,4.19,0.09,1.42,0.92,0.56,1.63,0.2,1.27,0.81,0.81,2.95,1.17,0.92,2.95,46.12,16.07,1.98,0.61,1.57,30.66,1.73,0.41,1.73,2.49,1.78
"490","Dejan Kulusevski","Winger",2468,"Tottenham","Premier League",22,"https://fbref.com/en/players/df3cda47/Dejan-Kulusevski","SWE",19,23,1720,0.1,0.31,0.1,0.1,0.21,3.92,2.88,9,1.88,0.42,0,0.01,0,33.07,4.04,0.24,0.63,1.62,0.58,4.13,0.47,0.68,0.73,0.52,2.2,0.31,0.73,1.98,46.36,23.86,4.97,2.04,2.15,30.4,2.15,2.09,1.1,2.56,1.74
"491","Dejan Ljubicic","Midfield",1191,"Köln","Bundesliga",25,"https://fbref.com/en/players/c455a2b2/Dejan-Ljubicic","AUT",14,21,1305,0.28,0.07,0.28,0.15,0.12,1.72,3.38,4.41,1.86,0.76,0.01,0.02,0.01,31.59,5.01,0.11,2.21,1.17,0.28,2.97,0.41,0.83,1.31,0.48,1.79,0.41,0.69,2.46,41.38,17.52,2.14,0.9,2.89,24.07,1.38,0.69,0.76,2,1.88
"492","Dejan Lovren","Centre-Back",1463,"Lyon","Ligue 1",33,"https://fbref.com/en/players/1a2935f6/Dejan-Lovren","CRO",13,13,1146,0,0,0,0.05,0.04,0.86,4.4,0.08,0.86,0.16,0,0,0,70.52,6.95,0.03,4.79,0,0,0.63,0,1.34,1.26,1.57,3.06,4.48,1.18,5.61,81.75,3.06,0.16,0.08,3.93,61.49,0.86,0.08,0.79,0.47,5.48
