"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"39",2023,"Hoffenheim","Bundesliga","team",31,27.4,49.1,28,308,2520,28,37,25,62,32,5,7,69,4,40.3,34.9,27.5,62.4,385,1005,1.32,0.89,2.21,1.14,2.04,1.44,0.98,2.42,1.25,2.23,"https://fbref.com/en/squads/033ea6b8/Hoffenheim-Stats"
"40",2023,"Inter","Serie A","team",24,29.5,56.1,30,330,2700,30,47,32,79,43,4,5,54,2,55,51.5,41.4,92.9,520,1354,1.57,1.07,2.63,1.43,2.5,1.83,1.38,3.21,1.72,3.1,"https://fbref.com/en/squads/d609edc0/Internazionale-Stats"
"41",2023,"Juventus","Serie A","team",29,28.4,49.1,30,330,2700,30,47,37,84,44,3,5,57,6,43.9,39.8,32.1,71.9,494,1054,1.57,1.23,2.8,1.47,2.7,1.46,1.07,2.53,1.33,2.4,"https://fbref.com/en/squads/e0652b02/Juventus-Stats"
"42",2023,"Köln","Bundesliga","team",26,26.8,49.8,28,308,2520,28,34,23,57,32,2,2,59,3,36.8,35.3,26.8,62.1,409,1018,1.21,0.82,2.04,1.14,1.96,1.32,0.96,2.27,1.26,2.22,"https://fbref.com/en/squads/bc357bf7/Koln-Stats"
"43",2023,"Lazio","Serie A","team",22,29.4,51.8,30,330,2700,30,48,29,77,43,5,7,65,2,39.3,33.9,25.5,59.4,539,1066,1.6,0.97,2.57,1.43,2.4,1.31,0.85,2.16,1.13,1.98,"https://fbref.com/en/squads/7213da33/Lazio-Stats"
"44",2023,"Lecce","Serie A","team",29,25.4,42,30,330,2700,30,24,17,41,23,1,2,67,2,26.2,24.6,19.6,44.2,406,979,0.8,0.57,1.37,0.77,1.33,0.87,0.65,1.53,0.82,1.47,"https://fbref.com/en/squads/ffcbe334/Lecce-Stats"
"45",2023,"Leeds United","Premier League","team",28,25.8,48,31,341,2790,31,38,27,65,37,1,2,68,2,38.8,37.3,26.9,64.1,470,1178,1.23,0.87,2.1,1.19,2.06,1.25,0.87,2.12,1.2,2.07,"https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats"
"46",2023,"Leicester City","Premier League","team",28,27,48.7,31,341,2790,31,39,28,67,38,1,2,50,2,38,36.4,30.7,67,488,1096,1.26,0.9,2.16,1.23,2.13,1.22,0.99,2.21,1.17,2.16,"https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats"
"47",2023,"Lens","Ligue 1","team",28,27,55.9,31,341,2790,31,49,36,85,45,4,7,49,2,54.1,48.7,37.9,86.7,622,1556,1.58,1.16,2.74,1.45,2.61,1.75,1.22,2.97,1.57,2.8,"https://fbref.com/en/squads/fd4e0f7d/Lens-Stats"
"48",2023,"Leverkusen","Bundesliga","team",26,25.5,52.3,28,308,2520,28,51,40,91,48,3,5,58,5,44.4,40.5,34.7,75.2,576,1022,1.82,1.43,3.25,1.71,3.14,1.59,1.24,2.83,1.45,2.69,"https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats"
"49",2023,"Lille","Ligue 1","team",25,26.8,59.8,31,341,2790,31,56,35,91,49,7,8,66,1,57,50.7,38.4,89,652,1603,1.81,1.13,2.94,1.58,2.71,1.84,1.24,3.08,1.64,2.87,"https://fbref.com/en/squads/cb188c0c/Lille-Stats"
"50",2023,"Liverpool","Premier League","team",27,28.2,59.3,30,330,2700,30,52,43,95,52,0,2,44,1,54.7,53.2,42.7,95.9,539,1549,1.73,1.43,3.17,1.73,3.17,1.82,1.42,3.25,1.77,3.2,"https://fbref.com/en/squads/822bd0ba/Liverpool-Stats"
"51",2023,"Lorient","Ligue 1","team",28,25.9,45.5,31,341,2790,31,40,26,66,36,4,5,33,3,36.6,32.7,24.4,57,609,1073,1.29,0.84,2.13,1.16,2,1.18,0.79,1.97,1.05,1.84,"https://fbref.com/en/squads/d2c87802/Lorient-Stats"
"52",2023,"Lyon","Ligue 1","team",28,26.3,57.9,31,341,2790,31,48,34,82,43,5,6,50,2,48.3,43.6,35.4,79,567,1577,1.55,1.1,2.65,1.39,2.48,1.56,1.14,2.7,1.41,2.55,"https://fbref.com/en/squads/d53c0b06/Lyon-Stats"
